STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/1/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/1/03,2.46,,1357,,1404,0,,,35,38,31,,,140,140,,,8.1,8.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/1/03,,,,,,0,0,,,37,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/1/03,,,,,,0,0,4,,39,31,38,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/1/03,2.01,,2352,,2218,0.03,0.2,0,36,39,32,,0,160,160,0,,6,8.1,1,,,,,,,1,,,1,,,1,,1,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/2/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/2/03,11.41,,1726,,1802,0.01,,,27,37,16,,,320,330,,,21,25.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/2/03,,,,,,0,0,,,37,31,34,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/2/03,,,,,,0,0,3,,38,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/2/03,12.08,,1827,,1819,0.01,0.1,0,28,38,18,,,320,320,0,,21.9,29.1,1,,,,,,,1,,,1,,,1,,1,,,1
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/3/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/3/03,6.71,,208,,208,0,,,16,26,5,,,360,360,,,14.1,17,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/3/03,,,,,,0.02,0.2,,,35,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/3/03,,,,,,0,0.1,3,,33,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/3/03,6.71,,21,,251,0,0,0,17,26,8,,,10,360,0,,15,17,,,,,,,,,,,,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/4/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/4/03,8.05,,1414,,2352,0,,,36,47,25,,,190,170,,,16.1,21,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/4/03,,,,,,0,0,,,28,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/4/03,,,,,,0,0,3,,48,22,47,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/4/03,6.93,,1545,,1544,0,0,0,37,49,24,,,160,170,0,,15,17.9,,,,,,,,,,,,,,1,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/5/03,,,,,,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/5/03,9.84,,1139,,1239,0.17,,,36,45,26,,,330,10,,,17.9,21.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/5/03,,,,,,0.17,0,,,47,28,21,,,,,,,,,,,1,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/5/03,,,,,,0.2,0,2,,47,26,27,,,,,,,,,,,1,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/5/03,8.72,,1344,,1334,0.24,0.1,0,37,46,27,,,340,350,0,,17,21.9,1,,,1,,1,,,,,1,1,1,1,1,1,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/6/03,,,,,,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/6/03,10.29,,958,,933,0.06,,,21,26,16,,,10,10,,,25.1,33.1,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/6/03,,,,,,0.05,0.9,,,44,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/6/03,,,,,,0.11,1.4,3,,27,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/6/03,8.95,,1017,,1016,0.14,1.3,0,24,28,19,,,360,360,0,,23,28,1,,,1,,,,,,,1,,,1,,1,,,1
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/7/03,,,,,,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/7/03,5.59,,1317,,1316,0,,,25,35,14,,,180,170,,,15,17,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/7/03,,,,,,0,0,,,30,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/7/03,,,,,,0,0,2,,37,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/7/03,6.04,,1333,,1430,0,0,0,27,36,17,,,180,220,0,,15,21,1,,,,,,,1,,,1,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/8/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/8/03,10.96,,2015,,2014,0.09,,,41,59,22,,,280,290,,,25.9,31.1,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/8/03,,,,,,0,0,,,35,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/8/03,,,,,,0,0,0,,61,19,59,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/8/03,10.74,,2035,,2035,0.12,0,0,43,62,23,,,280,280,0,,25.9,31.1,1,,,,,,,1,,,1,,,1,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/9/03,,,,,,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/9/03,14.76,,1526,,52,0,,,29,38,19,,,280,320,,,23,28,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/9/03,,,,,,0,0,,,61,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/9/03,,,,,,0.1,0,0,,61,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/9/03,14.09,,146,,1400,0,0,0,31,41,20,,,320,280,0,,23.9,30,1,,,,,,,,,,1,,,1,,1,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/10/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/10/03,7.61,,259,,309,0,,,19,25,12,,,290,290,,,23,25.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/10/03,,,,,,0,0,,,30,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/10/03,,,,,,0,0,0,,26,12,26,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/10/03,8.5,,308,,308,0,0,0,20,26,13,,,290,290,0,,21.9,25.9,,,,,,,,,,,,,,,,1,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/11/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/11/03,7.16,,1622,,1621,0,,,29,43,14,,,210,210,,,17.9,23,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/11/03,,,,,,0,0,,,26,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/11/03,,,,,,0,0,0,,44,14,43,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/11/03,6.93,,1728,,1657,0,0,0,30,44,16,,,210,210,0,,17.9,23,,,,,,,,,,,,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/12/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/12/03,6.93,,1544,,1239,0,,,46,56,35,,,210,230,,,14.1,17,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/12/03,,,,,,0,0,,,44,20,36,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/12/03,,,,,,0,0,0,,56,35,52,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/12/03,6.93,,1527,,1517,0,0,0,45,55,35,,,200,210,0,,15,19.9,1,,,,,,,1,,,1,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/13/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/13/03,10.29,,1832,,1731,0.23,,,34,45,23,,,20,20,,,21.9,28,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/13/03,,,,,,0,0,,,54,20,41,,,,,,,,1,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/13/03,,,,,,0.27,0,0,,52,33,33,,,,,,,,,,1,,1,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/13/03,10.07,,1107,,1713,0.23,0,0,37,48,25,,,320,350,0,,21,23,1,,1,,,,,,,,1,,,1,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/14/03,,,,,,0.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/14/03,5.59,,1109,,1109,0,,,37,54,20,,,140,140,,,14.1,16.1,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/14/03,,,,,,0.37,0,,,41,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/14/03,,,,,,0,0,0,,55,21,54,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/14/03,4.7,,1112,,1111,0,0,0,38,54,22,,,160,160,0,,15,17,,,,,,,,,,,,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/15/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/15/03,2.01,,1710,,1502,0,,,49,66,31,,,200,210,,,13,15,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/15/03,,,,,,0,0,,,54,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/15/03,,,,,,0,0,0,,67,28,65,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/15/03,1.57,,1431,,1431,0,0,0,48,65,31,,,210,210,0,,13,15,1,,,,,,,1,,,1,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/16/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/16/03,2.24,,1617,,1616,0,,,54,72,35,,,170,170,,,13,16.1,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/16/03,,,,,,0,,,,65,32,42,,,,,,,,,,,1,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/16/03,,,,,,0,0,0,,73,33,72,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/16/03,2.24,,1610,,1609,0,0,0,56,73,38,,,140,140,0,,13,15,1,,,,,,,1,,,1,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/17/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/17/03,3.8,,2216,,2215,0,,,59,72,45,,,10,10,,,10.1,13,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/17/03,,,,,,0,0,,,72,42,47,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/17/03,,,,,,0,0,0,,74,40,71,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/17/03,4.47,,2308,,2258,0,0,0,60,74,46,,,40,40,0,,10.1,13,,,,,,,,,,,,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/18/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/18/03,10.29,,1555,,1543,0,,,63,73,52,,,50,70,,,17.9,23.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/18/03,,,,,,0,0,,,72,47,54,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/18/03,,,,,,0,0,0,,74,51,71,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/18/03,11.41,,1700,,1659,0,0,0,65,74,56,,,80,80,0,,19.9,25.1,,,,,,,,1,,,,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/19/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/19/03,12.97,,1331,,1331,0.22,,,62,69,54,,,120,130,,,25.9,30,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/19/03,,,,,,0,0,,,71,54,57,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/19/03,,,,,,0.06,0,0,,71,56,58,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/19/03,14.09,,1348,,1344,0.25,0,0,62,70,54,,,120,130,0,,28,34.9,1,,,,,,,1,,,1,,,1,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/20/03,,,,,,0.21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/20/03,9.62,,1606,,2034,0.02,,,58,68,47,,,180,160,,,16.1,19.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/20/03,,,,,,0.46,0,,,70,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/20/03,,,,,,0.18,0,0,,69,48,63,,,,,,,,,,1,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/20/03,9.17,,2036,,2033,0.04,0,0,59,69,48,,,150,150,0,,23.9,31.1,,,1,,,,,,,,,,,1,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/21/03,,,,,,0.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/21/03,9.17,,1349,,1828,0.13,,,50,59,40,,,240,290,,,23,25.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/21/03,,,,,,0.1,0,,,67,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/21/03,,,,,,0.11,0,0,,66,51,52,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/21/03,10.29,,1358,,1403,0.08,0,0,49,57,41,,,240,230,0,,21.9,23.9,1,,,,,,,1,,,1,,,1,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/22/03,,,,,,0.03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/22/03,10.29,,1116,,1137,0,,,44,51,37,,,240,240,,,23,30,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/22/03,,,,,,0.04,0,,,55,39,42,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/22/03,,,,,,0.01,0,0,,52,37,49,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/22/03,11.18,,1213,,1129,0,0,0,46,53,39,,,260,260,0,,28,36,1,,,,,,,,,,1,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/23/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/23/03,3.58,,1458,,1458,0,,,50,58,42,,,250,240,,,10.1,15,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/23/03,,,,,,0,0,0,,53,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/23/03,,,,,,0,0,0,,58,42,56,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/23/03,4.47,,1502,,1358,0,0,0,51,58,43,,,320,260,0,,8.9,12.1,,,,,,,,,,,,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/24/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/24/03,8.5,,1346,,1345,0,,,55,71,39,,,230,230,,,21,28,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/24/03,,,,,,0,0,0,,57,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/24/03,,,,,,0,0,0,,72,33,71,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/24/03,8.28,,1318,,1408,0,0,0,56,72,39,,,200,220,0,,21.9,28,,,,,,,,,,,,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/25/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/25/03,11.41,,1437,,1434,0.41,,,59,72,46,,,220,230,,,19.9,23.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/25/03,,,,,,0,0,0,,70,35,55,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/25/03,,,,,,0,0,0,,72,46,63,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/25/03,10.29,,1338,,1404,0.47,0,0,60,73,47,,,270,260,0,,21,25.9,1,,1,,,,,,,,1,,,1,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/26/03,,,,,,0.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/26/03,6.04,,12,,11,0.05,,,51,59,42,,,340,330,,,15,19.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/26/03,,,,,,0.57,0,0,,73,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/26/03,,,,,,0.48,0,0,,63,42,58,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/26/03,5.37,,30,,42,0.1,0,0,52,60,44,,,330,330,0,,17.9,21,,,,,,,,,,,,,,1,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/27/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/27/03,8.5,,1649,,1657,0,,,50,66,34,,,120,140,,,19.9,21.9,,,,,,,,,,,,,,,,,,,
USC00331783,"COLUMBUS VLY CROSSING, OH US",39.9047,-82.9199,231.6,3/27/03,,,,,,0,0,0,,60,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00338951,"WESTERVILLE, OH US",40.1268,-82.9441,244.4,3/27/03,,,,,,0,0,0,,67,37,66,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,3/27/03,8.5,,1335,,1334,0,0,0,53,67,39,,0,150,150,0,,19.9,23.9,,,,,,,,,,,,,,,,,,,
USC00331777,"COLUMBUS HAP CREMEAN WP, OH US",40.0604,-82.8941,253.3,3/28/03,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",40.078406,-83.078332,275,3/28/03,16.11,,1628,,1638,0,,,64,75,52,,,200,220,,,25.1,31.1,,,,,,,,,,,,,,,,,,,
